orig,label,new
v87,"4-32: Please indicate the extent to which you agree or disagree with the following statement: Because we no longer hunt wolves, I believe they have lost their fear of people.",ad_fear_people
v88,PART 5-1: How knowledgeable do you believe you are about wolves?,knwldg_general
v89,5-2: How knowledgeable do you believe you are about wolves living in Wisconsin?,knwldg_WI
v90,5-3: I think there are about _____ wolves living in Wisconsin.,knwldg_popsizeWI
v91,5-3a Please indicate how confident you are in your answer.,knwldg_popsizeWI_c
v92,5-4: The average weight of an adult male wolf in Wisconsin is _____ pounds.,knwldg_size
v93,5-4a Please indicate how confident you are in your answer.,knwldg_size_c
v94,"5-5: On average, a typical wolf pack in Wisconsin consists of:",knwldg_packsize
v95,5-5a Please indicate how confident you are in your answer.,knwldg_packsize_c
v96,5-6: Wisconisn currently has ____ wolf packs.,knwldg_numpacks
v97,5-6a Please indicate how confident you are in your answer.,knwldg_numpacks_c
v98,"5-7: In an average year, what percentage of Wisconsin livestock farmers do you think lose livestock to wolves?",knwldg_livestock
v99,5-7a Please indicate how confident you are in your answer.,knwldg_livestocknwldg_c
v100,"5-8: As far as you know, has a wolf ever attacked and killed a pet in Wisconsin?",knwldg_killedpet
v101,5-8a Please indicate how confident you are in your answer.,knwldg_killedpet_c
v102,"5-9: As far as you know, has a wolf ever attacked a human in Wisconsin?",knwldg_attackhuman
v103,5-9a Please indicate how confident you are in your answer.,knwldg_attackhuman_c
v104,"5-10: In Wisconsin, how many deer does the average wolf kill in a year.",knwldg_deerkilled
v105,5-10a Please indicate how confident you are in your answer.,knwldg_deerkilled_c
v106,5-11: Do you think that:,knwldg_unknown
v107,PART 6-1: Please indicate the extent to which you agree or disagree with each of the following methods for managing the population of wolves in Wisconsin: A public hunting season on wolves.,mgmt_hunting_season
v108,6-2: Please indicate the extent to which you agree or disagree with each of the following methods for managing the population of wolves in Wisconsin: A public trapping season on wolves.,mgmt_trapping_season
v109,6-3: Please indicate the extent to which you agree or disagree with each of the following methods for managing the population of wolves in Wisconsin: DNR shooting wolves to control the population.,mgmt_DNR_shoot_control
v110,6-4: Please indicate the extent to which you agree or disagree with each of the following methods for managing the population of wolves in Wisconsin: DNR trapping wolves to control the population.,mgmt_DNR_trap_control
v111,6-5: Please indicate the extent to which you agree or disagree with each of the following methods for managing the population of wolves in Wisconsin: DNR poisoning wolves to control the population.,mgmt_DNR_poison_control
v112,6-6: Please indicate the extent to which you agree or disagree with each of the following methods for managing the population of wolves in Wisconsin: Sterilizing wolves to control the population.,mgmt_DNR_sterilize_control
v113,6-7: Please indicate the extent to which you agree or disagree with each of the following methods for managing problem wolves in Wisconsin: Having the DNR shoot problem wolves.,mgmt_DNR_shoot_problems
v114,6-8: Please indicate the extent to which you agree or disagree with each of the following methods for managing problem wolves in Wisconsin: Having the DNR relocate problem wolves.,mgmt_DNR_relocate_problems
v115,6-9: Please indicate the extent to which you agree or disagree with each of the following methods for managing problem wolves in Wisconsin: Having the DNR poison problem wolves.,mgmt_DNR_poison_problems
v116,6-10: Please indicate the extent to which you agree or disagree with each of the following methods for managing problem wolves in Wisconsin: Having farmers learn Best Management Practices for protecting their livestock from wolves.,mgmt_farmers_bmp
v117,6-11: Please indicate the extent to which you agree or disagree with each of the following methods for managing problem wolves in Wisconsin: Allowing farmers to shoot wolves they find attacking their livestock.,mgmt_farmers_shoot
v118,6-12: Currently the Department of Natural Resources compensates livestock farmers for livestock that are proven to have been killed by a wolf. Do you think that the DNR should:,mgmt_DNR_compensate1
v119,"6-14: In the fiscal year of 2000-2001, the Department of Natural Resources paid out $2,900 to compensate farmers whose livestock were killed by wolves. Do you think the DNR (spl-out) should:",mgmt_DNR_compensate2
v120,"6-16: Overall, how much would you say you care about how Wisconsin chooses to manage wolves?",mgmt_care_how
v121,"6-17-1: As the wolf population continues to expand, wolves are moving into areas that they have previously not occupied. In your opinion, should wolves be allowed to live in: Nowhere in Wisconsin.",live_nowhereWI
v123,"6-17-2: As the wolf population continues to expand, wolves are moving into areas that they have previously not occupied. In your opinion, should wolves be allowed to live in: National Forests.",live_national_forests
v124,"6-17-3: As the wolf population continues to expand, wolves are moving into areas that they have previously not occupied. In your opinion, should wolves be allowed to live in: State Forests.",live_state_forests
v125,"6-17-4: As the wolf population continues to expand, wolves are moving into areas that they have previously not occupied. In your opinion, should wolves be allowed to live in: County Forests.",life_county_forests
v126,"6-17-5: As the wolf population continues to expand, wolves are moving into areas that they have previously not occupied. In your opinion, should wolves be allowed to live in: National Wildlife Refuges.",live_national_refuges
v127,"6-17-6: As the wolf population continues to expand, wolves are moving into areas that they have previously not occupied. In your opinion, should wolves be allowed to live in: State Wildlife Refuges.",live_state_refuges
v128,"6-17-7: As the wolf population continues to expand, wolves are moving into areas that they have previously not occupied. In your opinion, should wolves be allowed to live in: Other.",live_other
v129,"6-18: If a wolf causes harm to livestock or a domestic animal, the wolf should be: Captured and moved to a new location by the Department of Natural Resources.",llivestock_relocate_DNR
v130,"6-19: If a wolf causes harm to livestock or a domestic animal, the wolf should be: Captured and relocated by the land owner.",livestock_relocate_farmer
v131,"6-20: If a wolf causes harm to livestock or a domestic animal, the wolf should be: Killed by the Department of Natural Resources.",livestock_killed_DNR
v132,"6-21: If a wolf causes harm to livestock or a domestic animal, the wolf should be: Killed by the landowner.",livestock_killed_farmer
v133,"6-22: If a wolf causes harm to livestock or a domestic animal, the wolf should be: Ignored, it is just doing what it has to do to survive.",livestock_ignore1
v134,"6-23: If a wolf causes harm to livestock or a domestic animal, the wolf should be: Ignored, because you can never know for sure if you will get the actual wolf that is causing the damage.",livestock_ignore2
v135,"6-24: If a wolf becomes a problem animal to a farm by repeatedly killing or injuring livestock and or domestic animals, the farmer: Should change his/her farming practices to discourage wolves from preying on livestock.",livestock2_change_practices
v136,"6-25: If a wolf becomes a problem animal to a farm by repeatedly killing or injuring livestock and or domestic animals, the farmer: Should be obliged to make necessary changes to farming practices to discourage wolves from preying on his/her livestock.",livestock2_change_practices2
v137,"6-26: If a wolf becomes a problem animal to a farm by repeatedly killing or injuring livestock and or domestic animals, the farmer: Should have the right to shoot and kill the offending wolf.",livestock2_shoot
v138,"6-27: If a wolf becomes a problem animal to a farm by repeatedly killing or injuring livestock and or domestic animals, the farmer: Should have the right to trap the offending wolf.",livestock2_trap
v139,"6-28: If a wolf becomes a problem animal to a farm by repeatedly killing or injuring livestock and or domestic animals, the farmer: Should make a claim to his/her insurance company for damages.",livestock2_insurance1
v140,"6-29: If a wolf becomes a problem animal to a farm by repeatedly killing or injuring livestock and or domestic animals, the farmer: Should be obligated by law to make a claim to his/her insurance company for damages.",livestock2_insurance2
v141,"6-30: If a wolf becomes a problem animal to a farm by repeatedly killing or injuring livestock and or domestic animals, the farmer: Should have no responsibilities in the matter because these problems should be dealt with only by the DNR (spl-out).",livestock2_DNRhandle
v142,PART 7-1: Please indicate the highest level of education you have achieved.,dem_education
v143,7-2: Are you a male or a female?,dem_sex
v144,7-3: What is your age?,dem_age
v145,7-4: Which of the following best describes the area in which you currently reside?,dem_reside
v146,7-5: Approximately how many people live in your community?,dem_community_size
v147,7-6: Do you own your home?,dem_ownhome
v148,"7-6a: If yes, How many acres does your property consist of?",dem_homeacres
v149,7-7: What is your occupation?,dem_occupation
v150,"7-7a: If retired, what was your occupation?",dem_retired_occupation
v151,"7-8: If you are living with a spouse or partner, what does he or she do?",dem_spouse_occupation
v152,7-9: Do you own recreational land or property?,dem_own_recland
v153,"7-9a-1: If yes, in what ways do you use it: Livestock farming?",ownland_livestock_farming
v154,"7-9a-2: If yes, in what ways do you use it: Crop farming?",ownland_crop_farming
v155,"7-9a-3: If yes, in what ways do you use it: Hunting?",ownland_hunting
v156,"7-9a-4: If yes, in what ways do you use it: Timber?",ownland_timber
v157,"7-9a-5: If yes, in what ways do you use it: Nature Conservation?",ownland_conservation
v158,"7-9a-6: If yes, in what ways do you use it: Fishing?",ownland_fishing
v159,"7-9a-7: If yes, in what ways do you use it: Hiking?",ownland_hunting
v160,"7-9a-8: If yes, in what ways do you use it: Nature Conservation?",ownland_conservation2
v161,"7-9a-9: If yes, in what ways do you use it: None of the Above?",ownland_none
v162,"7-9a-10: If yes, in what ways do you use it: Other?",ownland_other
v163,7-9b: In what zone is your recreational land or property located?,ownland_zone
v164,7-10: Please check the range that comes closest to your total family annual income before taxes.,dem_income
v165,7-11: Do you have pets in your household?,dem_pets
v166,"7-11a: If yes, do any of these pets spend most of their time outside?",dem_pets_num
v167,7-12: Do you raise livestock for a living?,dem_livestock
v168,7-13: Have you hunted in the past two years?,dem_hunt
v169,"7-13a-1 If yes, what did you hunt: Deer?",hunt_deer
v170,"7-13a-2 If yes, what did you hunt: Game Birds?",hunt_birds
v171,"7-13a-3 If yes, what did you hunt: Bears?",hunt_bears
v172,"7-13a-4 If yes, what did you hunt: Small Game (squirrels, rabbits, etc.)?",hunt_smallgame
v173,"7-13a-5 If yes, what did you hunt: Other?",hunt_other
v174,7-14: What is your relationship status?,dem_relationship
v175,7-15: Do you have children?,dem_children
v176,7-16: Are you involved politically in your community in ways other than voting?,dem_politically_involved
v177,7-17-1: Are you a member of any of the following conservation or wildlife related organizations: American Humane Association?,member_AHA
v178,7-17-2: Are you a member of any of the following conservation or wildlife related organizations: Audubon Society?,member_Audubon
v179,7-17-3: Are you a member of any of the following conservation or wildlife related organizations: Defenders of the Wildlife?,member_DOW
v180,7-17-4: Are you a member of any of the following conservation or wildlife related organizations: Ducks Unlimited?,member_DU
v181,7-17-5: Are you a member of any of the following conservation or wildlife related organizations: Environmental Defense Fund?,member_EDF
v182,7-17-6: Are you a member of any of the following conservation or wildlife related organizations: Friends of Animals?,member_FofA
v183,7-17-7: Are you a member of any of the following conservation or wildlife related organizations: Friends of the Earth?,member_FofE
v184,7-17-8: Are you a member of any of the following conservation or wildlife related organizations: Humane Society of the U.S.?,member_HumaneSoc
v185,7-17-9: Are you a member of any of the following conservation or wildlife related organizations: National Rifle Association?,member_NRA
v186,7-17-10: Are you a member of any of the following conservation or wildlife related organizations: National Wildlife Federation?,member_NWF
v187,7-17-11: Are you a member of any of the following conservation or wildlife related organizations: The Nature Conservancy?,member_NatureConservancy
v188,7-17-12: Are you a member of any of the following conservation or wildlife related organizations: None,member_none
v189,7-17-13: Are you a member of any of the following conservation or wildlife related organizations: Sierra Club?,member_SierraClub
v190,7-17-14: Are you a member of any of the following conservation or wildlife related organizations: Sport Fishing Institute?,members_SFI
v191,7-17-15: Are you a member of any of the following conservation or wildlife related organizations: Timber Wolf Alliance?,member_TWA
v192,7-17-16: Are you a member of any of the following conservation or wildlife related organizations: Trout Unlimited?,member_TU
v193,7-17-17: Are you a member of any of the following conservation or wildlife related organizations: Whitetails Unlimited?,member_WU
v194,7-17-18: Are you a member of any of the following conservation or wildlife related organizations: Wilderness Society?,member_WS
v195,7-17-19: Are you a member of any of the following conservation or wildlife related organizations: Wisconsin Bear Hunters Association?,member_WiBHA
v196,7-17-20: Are you a member of any of the following conservation or wildlife related organizations: Wisconsin Bow Hunters?,member_WiBH
v197,7-17-21: Are you a member of any of the following conservation or wildlife related organizations: Wisconsin Conservation Congress?,member_WiCC
v198,7-17-22: Are you a member of any of the following conservation or wildlife related organizations: World Wildlife Fund?,member_WWF
v199,7-17-23: Are you a member of any of the following conservation or wildlife related organizations: Other?,member_other
v200,7-18: Do you consider yourself to be:,dem_race
v201,PART 8-1: Have you read anything about wolves in the past year?,read_anything
v202,"8-1a-1 If yes, where did you find the reading: Newspaper?",read_newspaper
v203,"8-1a-2 If yes, where did you find the reading: Magazine?",read_magazine
v204,"8-1a-3 If yes, where did you find the reading: Scientific Journal?",read_science
v205,"8-1a-4 If yes, where did you find the reading: Book?",read_book
v206,"8-1a-5 If yes, where did you find the reading: Brochure?",read_brochure
v207,"8-1a-6 If yes, where did you find the reading: Internet?",read_internet
v208,"8-1a-7 If yes, where did you find the reading: Other?",read_other
v209,8-2: Have you seen TV programs on wolves?,seen_tv
v210,"8-2a If yes, was it fiction, a documentary, or have you seen both?",tv_type
v211,"8-2b-1 What type of station was the program(s) on: Educational/Scientific (Discover, etc.)?",tv_education
v212,"8-2b-2 What type of station was the program(s) on: Entertainment (NBC, FOX, etc.)?",tv_entertainment
v213,8-2b-3 What type of station was the program(s) on: Public Broadcasting (PBS)?,tv_PBS
v214,"8-2b-4 What type of station was the program(s) on: Hunting/Sporting (OLN, ESPN, etc.)?",tv_sporting
v215,8-2b-5 What type of station was the program(s) on: Other?,tv_other
v216,"8-3-1 If you have questions about wildlife, where do you get your information: Internet?",quest_internet
v217,"8-3-2 If you have questions about wildlife, where do you get your information: Television?",quet_tv
v218,"8-3-3 If you have questions about wildlife, where do you get your information: Magazines/Books?",quest_magazine
v219,"8-3-4 If you have questions about wildlife, where do you get your information: Department of Natural Resources?",quest_DNR
v220,"8-3-5 If you have questions about wildlife, where do you get your information: Police and Local Authorities?",quest_authorities
v221,"8-3-6 If you have questions about wildlife, where do you get your information: Newspapers?",quest_newspaper
v222,"8-3-7 If you have questions about wildlife, where do you get your information: Radio?",quest_radio
v223,"8-3-8 If you have questions about wildlife, where do you get your information: Friends and/or family?",quest_friends
v224,"8-3-9 If you have questions about wildlife, where do you get your information: Teacher/Professor?",quest_teacher
v225,"8-3-10 If you have questions about wildlife, where do you get your information: Government Agencies (other than DNR)?",quest_govt
v226,"8-3-11 If you have questions about wildlife, where do you get your information: Other Agencies?",quest_other_agencies
v227,"8-3-12 If you have questions about wildlife, where do you get your information: Other?",quest_other
